Giorno,Temperatura (°C),Umidità (%),Precipitazioni (mm),Ore di Luce (h),Raccolto Grano (kg),Tempi Crescita Grano (giorni),Uso Fertilizzanti Grano (kg/ha),Consumo Acqua Grano (litri),Raccolto Mais (kg),Tempi Crescita Mais (giorni),Uso Fertilizzanti Mais (kg/ha),Consumo Acqua Mais (litri),Raccolto Soia (kg),Tempi Crescita Soia (giorni),Uso Fertilizzanti Soia (kg/ha),Consumo Acqua Soia (litri)
1,7.260478504983246,76.69658091138882,1.9573813401699054,6.0,252.8308709567042,102.2320980742832,47.87722371869997,1390.1825442682518,251.89951430866495,99.46411392943418,47.87722371869997,1390.1825442682518,256.1302170046465,95.32865257740052,47.87722371869997,1390.1825442682518
2,11.951883596315378,65.33952720191117,2.9093404351504377,6.0,260.5353860335649,102.6807955489204,46.766472285929524,2055.7669812189993,263.6886554811967,102.31224344804632,46.766472285929524,2055.7669812189993,228.49643038674455,104.21915626705669,46.766472285929524,2055.7669812189993
3,10.563585569790433,66.0082226057915,2.4455562381475833,6.0,238.65779106713032,103.13440307181796,47.06349484945766,2004.413758904191,262.7526780233288,94.62974544573682,47.06349484945766,2004.413758904191,249.4564843392441,98.91170844580728,47.06349484945766,2004.413758904191
4,15.71465999592316,73.47687731958555,8.285950164923836,6.0,256.8838089900868,104.06391375859778,41.140044262994934,1554.8902566891034,226.4662092707818,95.84732177444165,41.140044262994934,1554.8902566891034,247.82017512058607,102.42482964586574,41.140044262994934,1554.8902566891034
5,9.718465509732223,67.82877885887488,1.0249413923649988,6.0,249.21041648142293,101.20239499555687,48.13303239636301,1874.961417456813,247.0091601426278,95.79218854098832,48.13303239636301,1874.961417456813,256.09631595371377,94.73369303120603,48.13303239636301,1874.961417456813
6,12.19379604966077,74.75152722650705,1.7294815268500425,6.0,258.7669099849024,102.16405580129461,47.275163994900055,1462.8451583915273,259.083806192196,98.26442060888658,47.275163994900055,1462.8451583915273,258.79042071152975,95.2915317771756,47.275163994900055,1462.8451583915273
7,9.667835936898193,60.96454541458761,1.140535730942934,6.0,272.7578578150493,96.7072307350727,47.68480413413444,2248.279761575345,231.20199653473466,97.94394554117407,47.68480413413444,2248.279761575345,240.68130236246486,95.68359650943408,47.68480413413444,2248.279761575345
8,16.986623468413974,63.7940148712105,3.445144004275397,6.0,243.81143044254674,102.71789002255754,45.27665730232402,2072.952844094743,247.69544381893544,95.52070063804541,45.27665730232402,2072.952844094743,261.0409926445344,102.25980044311902,45.27665730232402,2072.952844094743
9,9.00394944182675,67.28238748919068,6.662743952844117,6.0,224.54023486733846,94.62168872889494,41.999791872863355,1862.0844266186805,231.22053426231247,97.06581979709874,41.999791872863355,1862.0844266186805,225.24468284749523,102.94492301655407,41.999791872863355,1862.0844266186805
10,10.409313177360108,65.41202684745551,3.99322007840036,6.0,246.12808801703983,100.87645672835916,44.43065072431243,1956.784735709392,227.74729136780988,94.99650331856203,44.43065072431243,1956.784735709392,242.76991989454436,100.58908866162372,44.43065072431243,1956.784735709392
11,12.718372170318522,76.43175366112882,1.8556306888870508,6.0,266.32947341988984,100.79994399193062,46.33195806453118,1325.3713110294548,278.527644793063,96.03444296386814,46.33195806453118,1325.3713110294548,258.1919252957021,94.19082827432482,46.33195806453118,1325.3713110294548
12,12.584554459351407,69.19383795130551,7.126816239962288,6.0,234.8156241203303,96.45277389353042,41.114487177462124,1722.0000737242867,252.01302662831586,99.04143343713895,41.114487177462124,1722.0000737242867,259.80519597829965,98.8597558863961,41.114487177462124,1722.0000737242867
13,16.12006344346947,62.23416823443126,2.3450434797502444,6.0,246.24225419102203,102.22279147894137,45.53982450962545,2098.328895428608,245.3473057636416,101.07890212355902,45.53982450962545,2098.328895428608,254.93303364965962,97.13657496529895,45.53982450962545,2098.328895428608
14,11.117839317503872,65.50079300525,9.734038355404547,6.0,245.53543983651474,96.93595373226879,38.34388395627444,1905.2719965160238,211.96121004454196,99.05327463986097,38.34388395627444,1905.2719965160238,216.94872976891617,100.21943118137713,38.34388395627444,1905.2719965160238
15,10.805803879864124,65.84832211659267,2.8956214998619902,6.0,242.17467329078036,98.3662474205333,44.69872684725595,1874.6858033789463,248.18627081835297,92.92213434828355,44.69872684725595,1874.6858033789463,252.82896708683845,93.68519717578981,44.69872684725595,1874.6858033789463
16,10.736965958690389,62.89853972234599,3.2193648919019466,6.0,243.48482625291226,102.10582092836938,44.23616004164333,2024.2867210805289,234.88142537791708,93.90217326466669,44.23616004164333,2024.2867210805289,237.3414586587075,95.90093684597704,44.23616004164333,2024.2867210805289
17,13.854792604850218,65.75517886475501,2.3361560257808867,6.0,267.05108270230187,98.86182594645945,44.913807640194214,1857.1086818215638,255.90817704625425,94.33608437275132,44.913807640194214,1857.1086818215638,259.298131293242,94.98262893437436,44.913807640194214,1857.1086818215638
18,13.279844206044164,46.94314455713942,2.6211747863612187,6.0,202.83504472882356,97.74761363668287,44.489463332254985,2859.8480998106597,208.68374062175812,100.07991641964608,44.489463332254985,2859.8480998106597,233.39597775223277,98.83426026467801,44.489463332254985,2859.8480998106597
19,14.919165243220728,60.08834458684742,2.7939364478144864,6.0,245.26530850045535,91.96299053404168,44.172888338737735,2138.25124414584,257.8116593710909,99.8818473879594,44.172888338737735,2138.25124414584,235.62802138768222,100.66245178369981,44.172888338737735,2138.25124414584
20,12.818891350028968,69.42895677545741,2.609394065622223,6.0,250.56759101204062,100.51112213642051,44.19152298867914,1627.8940504172638,243.8838550124363,95.39779369945386,44.19152298867914,1627.8940504172638,225.03091723978662,99.04887159698856,44.19152298867914,1627.8940504172638
21,12.191445189500646,46.718023390391934,2.9588496714160937,6.0,223.0083219212572,97.70361055929986,43.71368400239805,2820.0273391929177,232.87400766204252,94.92089512723048,43.71368400239805,2820.0273391929177,232.06194648267086,96.0266270935089,43.71368400239805,2820.0273391929177
22,11.797365780932827,65.43855103236005,2.6148087408942047,6.0,245.231224711252,99.5612713565526,43.88129762349379,1818.1226196343969,240.1070226150604,100.32582876818651,43.88129762349379,1818.1226196343969,231.24887533535573,101.01495667031813,43.88129762349379,1818.1226196343969
23,15.923965346966478,52.858322764515876,3.4338469142126016,6.0,231.2937653322147,100.99274588239533,42.974380842842194,2464.8842377555775,235.7442624575362,95.3111379227421,42.974380842842194,2464.8842377555775,226.99737741296718,95.71631834943307,42.974380842842194,2464.8842377555775
24,12.849813875659118,63.45085979921774,4.649210596653305,6.0,230.37375617809775,96.1900156582203,41.709229954056056,1899.4675959185504,233.05245120164614,95.46691535010457,41.709229954056056,1899.4675959185504,249.30876030655287,93.53611609130175,41.709229954056056,1899.4675959185504
25,13.64942685844365,59.04855141788393,2.6461943776864567,6.0,239.24013623429943,98.35966660134628,43.40266466931827,2115.393267603643,236.67225378473555,94.90136432157924,43.40266466931827,2115.393267603643,233.85373219418318,94.59620105289254,43.40266466931827,2115.393267603643
26,16.49754905803531,61.435519024042634,2.680879147591021,6.0,246.1790030085609,92.23628096722823,43.22340873923563,1980.0735364420466,256.36306373383684,95.13310960414945,43.22340873923563,1980.0735364420466,243.89454731022164,95.71719510597458,43.22340873923563,1980.0735364420466
27,14.93114989573579,58.51460995516787,2.8118601966393797,6.0,233.02716122620362,96.15131312824033,42.95791803495766,2117.224021257142,237.0885937910078,91.43855253242286,42.95791803495766,2117.224021257142,250.14089210969195,94.06273712085019,42.95791803495766,2117.224021257142
28,16.539692246033557,61.60591021174502,2.558232865246306,6.0,244.18222213465114,92.11393476118099,43.04343833326868,1947.6935728470191,246.10012953169908,95.32970301608756,43.04343833326868,1947.6935728470191,251.06776597495158,90.90281381050171,43.04343833326868,1947.6935728470191
29,19.53344882132599,58.995760742714346,5.707520620041746,6.0,246.0386023105697,96.92758334529475,40.0516176315949,2067.652017023801,230.40353738246472,99.75440957886478,40.0516176315949,2067.652017023801,240.15630859569555,97.92634459135719,40.0516176315949,2067.652017023801
30,14.63153224620816,64.43949885292982,5.718773919396365,6.0,257.5269983124779,91.79675458781286,39.90822872666195,1782.4519484670298,229.2012622353326,98.03993188910104,39.90822872666195,1782.4519484670298,221.6463552864409,91.97070996352241,39.90822872666195,1782.4519484670298
31,13.029106801153572,63.78185840048995,8.122149502827336,6.0,254.47321786194664,97.78325172728444,37.617441349393836,1804.626170530764,241.36546034832475,94.48393370362439,37.617441349393836,1804.626170530764,231.6814282649404,97.92318625997176,37.617441349393836,1804.626170530764
32,16.349034465154702,55.01216071076074,4.676522470944467,6.0,228.98686356855993,97.31997275094146,40.578874425297634,2228.323612841537,246.94589962382713,90.60906648414252,40.578874425297634,2228.323612841537,256.51715766695355,94.34827533501671,40.578874425297634,2228.323612841537
33,15.306296308428026,60.26736656595123,3.124946183076157,6.0,248.53067365117477,90.58995283967442,41.831249542995614,1956.4307607158503,233.75880410019658,90.14234789900934,41.831249542995614,1956.4307607158503,251.99951477002296,98.52901500799302,41.831249542995614,1956.4307607158503
34,12.181552467805577,57.8216572768334,5.03058408646447,6.0,210.5611189943018,91.0592917025567,40.00087724090374,2064.6844439667216,232.01573728389985,99.0498951478254,40.00087724090374,2064.6844439667216,242.89431842375632,90.27666783154113,40.00087724090374,2064.6844439667216
35,14.410091397087411,62.61483067028796,3.3969687968605133,6.0,250.47450802516684,98.77048288306776,41.32102727687771,1819.3853374149496,249.01872073523768,93.41128267894732,41.32102727687771,1819.3853374149496,247.18597776825735,98.91941596198816,41.32102727687771,1819.3853374149496
36,16.163466209607673,56.05259029482669,3.222314487106223,6.0,260.6544350519632,91.46054783700824,41.343987005408856,2126.351230823381,236.51330337859008,91.0117771046099,41.343987005408856,2126.351230823381,249.0398133641708,92.63012163344553,41.343987005408856,2126.351230823381
